NORAD_CAT_ID,OBJECT_NAME,EPOCH,BSTAR,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,SOURCE_URL,RETRIEVED_AT
33832,COSMOS 2251 DEB,2026-08-25T12:54:23.505984,0.00076791941,74.0527,80.5625,0.0022675,50.8716,337.0868,14.63568203,CelesTrak (Manual Download),20260826T042208Z
33835,COSMOS 2251 DEB,2026-08-25T17:58:23.617344,0.00039765551,74.0583,330.5032,0.00558944,316.9212,201.3407,14.64251486,CelesTrak (Manual Download),20260826T042208Z
33836,COSMOS 2251 DEB,2026-08-25T08:43:55.255008,0.00067832427,73.9957,112.619,0.00238107,253.6159,223.4555,14.83829214,CelesTrak (Manual Download),20260826T042208Z
33837,COSMOS 2251 DEB,2026-08-25T20:19:55.252992,0.00012665003,74.0119,293.222,0.00326811,91.7505,268.7399,14.51159345,CelesTrak (Manual Download),20260826T042208Z
33838,COSMOS 2251 DEB,2026-08-25T10:36:41.968224,0.00027046447,74.037,30.6514,0.00260086,87.9227,303.2016,14.49004667,CelesTrak (Manual Download),20260826T042208Z
33839,COSMOS 2251 DEB,2026-08-25T00:02:19.571424,0.00016936775,74.037,75.7022,0.00829103,123.5022,27.0916,14.65022557,CelesTrak (Manual Download),20260826T042208Z
33841,COSMOS 2251 DEB,2026-08-25T06:42:17.949888,0.0001293,74.0382,167.4231,0.0021134,192.8005,321.6845,14.3815092,CelesTrak (Manual Download),20260826T042208Z
33842,COSMOS 2251 DEB,2026-08-25T02:07:57.907488,0.00016681236,74.0321,105.4717,0.00465126,152.3667,207.9977,14.43155176,CelesTrak (Manual Download),20260826T042208Z
33844,COSMOS 2251 DEB,2026-08-25T07:30:27.160704,0.00021709005,74.0668,305.9482,0.00495191,265.9479,163.9613,14.34244021,CelesTrak (Manual Download),20260826T042208Z
33848,COSMOS 2251 DEB,2026-08-25T10:30:13.869792,0.00053208845,74.0272,241.1755,0.00446916,240.8101,286.4295,14.45590802,CelesTrak (Manual Download),20260826T042208Z
33892,COSMOS 2251 DEB,2026-08-25T09:01:30.213696,0.00028989841,73.8039,355.3712,0.01144319,340.9095,81.4055,14.24041547,CelesTrak (Manual Download),20260826T042208Z
33894,COSMOS 2251 DEB,2026-08-25T14:26:50.144928,0.0022105,73.7685,313.0905,0.0569528,196.2749,161.9374,13.2194303,CelesTrak (Manual Download),20260826T042208Z
33896,COSMOS 2251 DEB,2026-08-25T12:01:42.312288,0.00042351628,73.7657,52.05,0.01245901,184.9578,207.0688,14.19686155,CelesTrak (Manual Download),20260826T042208Z
33899,COSMOS 2251 DEB,2026-08-25T08:20:08.174976,0.00035774091,74.0532,316.7298,0.00575343,312.1587,117.9747,14.62933571,CelesTrak (Manual Download),20260826T042208Z
33900,COSMOS 2251 DEB,2026-08-25T17:43:03.936864,0.0003211618,74.0155,231.6995,0.00489164,316.8879,217.933,14.59253109,CelesTrak (Manual Download),20260826T042208Z
33905,COSMOS 2251 DEB,2026-08-25T21:37:18.930720,0.00052536764,73.8852,202.175,0.00554241,35.4199,354.9778,14.36194282,CelesTrak (Manual Download),20260826T042208Z
